,tier,leagueId,queue,name,entries,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
33,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'xmdeDFf3XpRyosJp5sC5qgsZU9Gcc_8Vpza13GJWLqxDGOI', 'summonerName': '아이린', 'leaguePoints': 1243, 'rank': 'I', 'wins': 385, 'losses': 317, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",xmdeDFf3XpRyosJp5sC5qgsZU9Gcc_8Vpza13GJWLqxDGOI,아이린,1243,385,317,True,False,False,False
34,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'knhOS0p_fZOtMkpbqgKzYmISgL_r3VAzFDRd-ZFsLsgOIuKrx6XDbVR-MA', 'summonerName': 'naiyoubaby', 'leaguePoints': 1238, 'rank': 'I', 'wins': 801, 'losses': 727, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",knhOS0p_fZOtMkpbqgKzYmISgL_r3VAzFDRd-ZFsLsgOIuKrx6XDbVR-MA,naiyoubaby,1238,801,727,True,False,False,True
35,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'OcR5_cYtHBEU-Mw3E21O2UCC_T3f9IjqeDD2zCkv0Upel5Ke', 'summonerName': 'KT Harp', 'leaguePoints': 1225, 'rank': 'I', 'wins': 525, 'losses': 449, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",OcR5_cYtHBEU-Mw3E21O2UCC_T3f9IjqeDD2zCkv0Upel5Ke,KT Harp,1225,525,449,True,False,False,False
36,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'Oi4nsfQzpiXMmdpZL8oNJZeNbwUWsvwWNmMT-FFnIbuZkkE', 'summonerName': 'GGGori', 'leaguePoints': 1223, 'rank': 'I', 'wins': 369, 'losses': 298, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Oi4nsfQzpiXMmdpZL8oNJZeNbwUWsvwWNmMT-FFnIbuZkkE,GGGori,1223,369,298,True,False,False,False
37,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'XnV3PeF7a9S16GlPy7GNjSKkF6N36EXlweoxe6vgePeYYP6x75F8-26sXQ', 'summonerName': 'New ADC', 'leaguePoints': 1211, 'rank': 'I', 'wins': 217, 'losses': 152, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",XnV3PeF7a9S16GlPy7GNjSKkF6N36EXlweoxe6vgePeYYP6x75F8-26sXQ,New ADC,1211,217,152,True,False,False,True
38,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '6DT_95akGr79jJZPFNIo8N_8xU7i9snnZCVOGs5aC-3gafeXwLtTMmsVuQ', 'summonerName': 'Jh2nhj2rjoh', 'leaguePoints': 1211, 'rank': 'I', 'wins': 656, 'losses': 571, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",6DT_95akGr79jJZPFNIo8N_8xU7i9snnZCVOGs5aC-3gafeXwLtTMmsVuQ,Jh2nhj2rjoh,1211,656,571,True,False,False,True
39,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'DxshKvB63B9rTLoSzG6mofX9MtDVLRSGsnvfrfJrn2_Z6HY', 'summonerName': '참새크면비둘기', 'leaguePoints': 1209, 'rank': 'I', 'wins': 269, 'losses': 214, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",DxshKvB63B9rTLoSzG6mofX9MtDVLRSGsnvfrfJrn2_Z6HY,참새크면비둘기,1209,269,214,True,False,False,False
40,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '3fcm5cjhOfOkqsEHt_g2AXLSwT6flqMxwlISI-DcWH24O0wB7ODGHpydYQ', 'summonerName': 'ON12', 'leaguePoints': 1201, 'rank': 'I', 'wins': 502, 'losses': 416, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",3fcm5cjhOfOkqsEHt_g2AXLSwT6flqMxwlISI-DcWH24O0wB7ODGHpydYQ,ON12,1201,502,416,True,False,False,False
41,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'n7km1gf4vEF9JB8DVHXXCKqKN-KDgNnAV9_U4FWyGuxZLqY', 'summonerName': 'T1 Ellim', 'leaguePoints': 1199, 'rank': 'I', 'wins': 290, 'losses': 220, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",n7km1gf4vEF9JB8DVHXXCKqKN-KDgNnAV9_U4FWyGuxZLqY,T1 Ellim,1199,290,220,True,False,False,False
42,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '08ypMo440Qfj19V7HmGLB7yM9vC5NaS3TEHW7HGMo22H8RVA', 'summonerName': 'Fox B Mg', 'leaguePoints': 1190, 'rank': 'I', 'wins': 1056, 'losses': 972, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",08ypMo440Qfj19V7HmGLB7yM9vC5NaS3TEHW7HGMo22H8RVA,Fox B Mg,1190,1056,972,True,False,False,False
43,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'TJgCrG7lAUUXVk8DzSTF2IEOTVBDLQ17xXHnjxSfu2HUeFI', 'summonerName': 'T1 Zeus', 'leaguePoints': 1179, 'rank': 'I', 'wins': 414, 'losses': 353, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",TJgCrG7lAUUXVk8DzSTF2IEOTVBDLQ17xXHnjxSfu2HUeFI,T1 Zeus,1179,414,353,True,False,False,False
44,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'IsF9QYv8d-sY4fjgPhSNNWwOW7wD4GLFEHaP67MrOy-wxaYz3Kg-Or67RQ', 'summonerName': '파리메시', 'leaguePoints': 1170, 'rank': 'I', 'wins': 564, 'losses': 492, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",IsF9QYv8d-sY4fjgPhSNNWwOW7wD4GLFEHaP67MrOy-wxaYz3Kg-Or67RQ,파리메시,1170,564,492,True,False,False,False
45,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': 'nrCO8GIoliDR4nvxKLAbVXMEe2sJLapEjvIIErQinyRgmIC7-aLVW97p-A', 'summonerName': '날 건들지마날 ', 'leaguePoints': 1161, 'rank': 'I', 'wins': 168, 'losses': 105, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",nrCO8GIoliDR4nvxKLAbVXMEe2sJLapEjvIIErQinyRgmIC7-aLVW97p-A,날 건들지마날 ,1161,168,105,True,False,False,False
46,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '98g8cGLoUFQIArRZObOKci-fx82hFTt2Vo6E_rZTUomaPik', 'summonerName': 'BMX Decky', 'leaguePoints': 1156, 'rank': 'I', 'wins': 725, 'losses': 650, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",98g8cGLoUFQIArRZObOKci-fx82hFTt2Vo6E_rZTUomaPik,BMX Decky,1156,725,650,True,False,False,False
47,CHALLENGER,d1ff3466-6c02-33b0-8085-9fa6a8b82dd5,RANKED_SOLO_5x5,Poppy's Scions,"{'summonerId': '-iUoBFHcK25BWNUtWpnLeRHlagdwRurPXCK5FpkytsTQQWI', 'summonerName': 'mofu weizhen', 'leaguePoints': 1152, 'rank': 'I', 'wins': 563, 'losses': 498, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",-iUoBFHcK25BWNUtWpnLeRHlagdwRurPXCK5FpkytsTQQWI,mofu weizhen,1152,563,498,True,False,False,False
